Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Ba(mol/kgw),B(mol/kgw),K(mol/kgw)
9.87E1,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.03E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.07E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.10E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.14E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.18E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.22E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.26E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.30E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.34E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.38E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.42E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.46E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.50E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.54E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.58E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.62E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.66E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.70E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.74E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.78E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.82E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.85E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.89E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.93E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
1.97E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.01E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.05E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.09E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.13E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.17E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.21E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.25E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.29E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.33E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.37E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.41E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.45E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.49E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.53E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.57E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.60E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.64E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.68E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.72E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
2.76E2,1.025E-3,2.648E-8,5.324E-1,2.148E-4,3.551E-1,5.306E-4,1.220E-5,1.318E-3,1.807E-3
