time (sec),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
39.93,7.84203358347563e-05,6.016904187446016e-05,0.0003702740978545335,6.476852662911263e-07,0.00043711858986639413,0.00010224586799745577,1.563342236754702e-08
40.74,9.49895513209693e-05,7.288199202705361e-05,0.000448508286104426,7.845328917212987e-07,0.0005294761656333331,0.0001238491141630232,1.8936564865440624e-08
41.56,0.0001143818709017478,8.776100620722052e-05,0.000540072209691945,9.446969555190581e-07,0.0006375698545873327,0.0001491331750754728,2.2802504987548745e-08
42.37,0.0001369596445762362,0.00010508410225356878,0.0006466767618135109,1.1311701604468692e-06,0.000763419412433058,0.00017857048929027637,2.730347872369712e-08
43.19,0.00016311512555865012,0.00012515224164274012,0.0007701740284552253,1.3471921843867332e-06,0.0009092112767832026,0.00021267248372157984,3.251768339486885e-08
44.00,0.00019327118146508885,0.00014828987515691505,0.0009125606463745759,1.5962555541382838e-06,0.0010773025313467431,0.000251990500900576,3.852941943127325e-08
44.82,0.00022788188657623512,0.0001748453973052175,0.0010759805995630813,1.8821105370048867e-06,0.0012702242072287443,0.0002971165711784419,4.5429208442395954e-08
45.63,0.00026743299205128694,0.0002051915071015865,0.0012627274394361942,2.2087690243607405e-06,0.001490683903924598,0.00034868402579986516,5.3313886956115e-08
46.45,0.00031244227223420893,0.00023972547377283578,0.00147524591997339,2.5805073918458966e-06,0.0017415677196471408,0.0004073679484234647,6.228667545630246e-08
47.26,0.000363459746380656,0.00027886930688157446,0.001716133044637131,3.0018683306420905e-06,0.0020259414872428228,0.0004738854642134116,7.245722258501566e-08
48.08,0.000421067776223019,0.0003230698311842788,0.0019881385270417574,3.477661653276973e-06,0.002347051318023778,0.0005489958670465135,8.394162459249673e-08
48.89,0.0004858810407659273,0.0003727986672928142,0.0022941646719464477,4.012964085456438e-06,0.0027083234612768096,0.0006335005866501422,9.686242031255132e-08
49.71,0.0005585463905527585,0.0004285521198584772,0.002637265687151345,4.613118062429938e-06,0.003113363491938136,0.0007282429985922299,1.1134856210996716e-07
50.52,0.0006397425843562399,0.0004908509755443718,0.0030206464402403135,5.283729554278889e-06,0.0035659548428946027,0.0008341080809736717,1.2753536338868114e-07
51.34,0.0007301799118176097,0.0005602402134903037,0.0034476606768116826,6.03066494923704e-06,0.004070056701556841,0.0009520219224183527,1.455644233633181e-07
52.15,0.0008305997059867178,0.0006372886313027202,0.003921808718858733,6.860047027686463e-06,0.004629801292735203,0.001082951086514027,1.6558352988201636e-07
52.97,0.0009417737500005842,0.0007225883898209607,0.004446734663308082,7.778250061827047e-06,0.005249490571438499,0.00122790183822896,1.8774654114531488e-07
53.78,0.0010645035822837113,0.0008167544800229976,0.0050262231014123636,8.791894077222215e-06,0.005933592350028327,0.001387919238019405,2.122132471949259e-07
