Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Ba(mol/kgw),B(mol/kgw),K(mol/kgw)
102.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
105.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
108.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
111.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
114.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
117.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
120.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
123.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
126.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
129.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
132.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
135.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
138.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
141.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
144.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
147.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
150.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
153.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
156.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
159.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
162.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
165.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
168.0,0.0010252702850151046,2.6481266362662314e-08,0.5323852613360482,0.00021482925593067895,0.3551029950870143,0.0005305818896842114,1.2204391160065214e-05,0.0013183923832808362,0.0018065187430523339
