Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Ba(mol/kgw),B(mol/kgw),K(mol/kgw)
2.01E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.05E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.09E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.13E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.17E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.21E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.25E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.29E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.33E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.37E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.41E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.45E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.49E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.53E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.57E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.60E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.64E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.68E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.72E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
2.76E2,1.038E-3,2.615E-8,5.390E-1,2.175E-4,3.595E-1,5.371E-4,1.221E-5,1.335E-3,1.829E-3
