time (sec),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
44.00,0.0001913478672394396,0.00014681418683004207,0.0009034794121231184,1.5803706146880555e-06,0.0010665818886303189,0.00024948284863997246,3.814599868568413e-08
44.82,0.00022561389523459717,0.00017310525089353384,0.0010652719174460248,1.8633788577737486e-06,0.0012575823182782104,0.0002941595225906239,4.4977074870250825e-08
45.63,0.00026477178472128596,0.000203149660512039,0.0012501621254416635,2.186789715552123e-06,0.0014758502108136143,0.00034521429501536044,5.278336412992847e-08
46.45,0.0003093344571084076,0.00023734096143363372,0.001460571876184161,2.554839482547732e-06,0.0017242446139642076,0.0004033159222273178,6.166711949566072e-08
47.26,0.0003598468279336435,0.0002760972473256789,0.0016990740751192106,2.972028697573286e-06,0.002005802912215685,0.0004691748750698345,7.173697216195302e-08
48.08,0.00041688591279371277,0.0003198612410512147,0.001968393193230637,3.4431230186234514e-06,0.002323741417271955,0.0005435434770302669,8.3107952604512e-08
48.89,0.000481060812312541,0.0003691002831355831,0.0022714051960652003,3.973153098724718e-06,0.002681455284266975,0.0006272158846412009,9.590148758358826e-08
49.71,0.0005530125783650014,0.0004243062291248296,0.0026111369120867243,4.567413481057282e-06,0.003082517766089733,0.0007210279130605333,1.1024537347511791e-07
50.52,0.0006334139644795769,0.00048599525807883274,0.0029907648541625245,5.231460537493407e-06,0.003530678822117067,0.0008258567106418886,1.2627372651244916e-07
51.34,0.0007229690639091761,0.0005547075948763408,0.0034136135106571297,5.971109479370183e-06,0.004029863100803618,0.0009426202870447308,1.4412691063424307e-07
52.15,0.000822412839283184,0.0006310071493342768,0.00388315312460963,6.792430472815523e-06,0.004584167317940516,0.0010722768999861048,1.6395144371863967e-07
52.97,0.0009325105480362376,0.0007154810753603526,0.004402996980804138,7.701743893278785e-06,0.005197857053968801,0.001215824306104178,1.8589988304007815e-07
53.78,0.0010540570679533707,0.000808739253468643,0.004976898221223865,8.705614755107138e-06,0.0058753629945366434,0.0013742988815916512,2.1013069081389808e-07
54.60,0.001187876127182847,0.0009114136999967297,0.005608746209434123,9.810846352106731e-06,0.006621276638555295,0.001548774618272409,2.3680808069617374e-07
55.41,0.001334819442954854,0.0010241579062761992,0.00630256246390558,1.1024473144091689e-05,0.00744034549737701,0.0017403620006472152,2.661018460836708e-07
56.23,0.001495765773015661,0.0011476461108329387,0.007062496179209645,1.2353752922537162e-05,0.008337467807445155,0.0019502067691362097,2.981871710132892e-07
57.04,0.0016716198834538145,0.001282572507438109,0.007892819352445537,1.3806158285701696e-05,0.009317686776909405,0.00217948857431183,3.3324442439387555e-07
57.86,0.0018633114361691942,0.0014296503915040193,0.008797921530248371,1.538936745006786e-05,0.010386184384326778,0.002429419526360611,3.7145893821853125e-07
58.67,0.002071793798730328,0.0015896112469313938,0.009782304189341045,1.711125442077647e-05,0.011548274744751012,0.002701242643353417,4.1302077030467787e-07
59.49,0.0022980427787933156,0.0017632037750755143,0.010850574760891716,1.8979878539003074e-05,0.012809397055325035,0.0029962302011576456,4.5812445199517533e-07
60.30,0.002543055284630955,0.0019511928670194543,0.012007440305988873,2.1003473419067907e-05,0.014175108129008018,0.00331568198701065,5.069687211291883e-07
61.12,0.0028078479126568017,0.0021543585198331755,0.013257700846411402,2.3190435282586434e-05,0.015651074521369147,0.0036609234579077403,5.597562404591969e-07
61.93,0.003093455462140085,0.002373494696968872,0.014606242351618545,2.5549310691277798e-05,0.017243064251539434,0.0040333038040603455,6.166933015531831e-07
62.75,0.0034009293766067445,0.0026094081324052752,0.01605802937957699,2.8088783674263466e-05,0.018956938114509127,0.004434193916766197,6.779895140814209e-07
63.56,0.0037313361107237475,0.0028629170776179897,0.017618097365744993,3.081766223992025e-05,0.020798640578064687,0.004864984259123197,7.438574802480067e-07
64.38,0.0040857554207801095,0.003134849989928401,0.019291544551306633,3.374486425670871e-05,0.022774190253851155,0.005327082637127361,8.145124539911003e-07
65.19,0.004465278576223169,0.0034260441602812037,0.02108352353865557,3.68794026819831e-05,0.024889669928392068,0.005821911867841061,8.90171984445192e-07
66.01,0.004871006489093382,0.0037373442780284237,0.022999232459223615,4.023037011271457e-05,0.02715121613647234,0.006350907340515905,9.710555430360905e-07
66.82,0.005304047757638664,0.004069600929866604,0.02504390573609456,4.380692262740967e-05,0.02956500825615373,0.006915514465821351,1.0573841334672462e-06
67.64,0.005765516619891211,0.0044236690296915624,0.02722280442149138,4.7618262884395984e-05,0.03213725710191738,0.007517186007680783,1.1493798837567362e-06
68.45,0.0062565308125673005,0.0048004061758108,0.02954120608723085,5.167362243815495e-05,0.034874192990071766,0.00815737929166582,1.2472656193999518e-06
69.27,0.006778209330314631,0.0052006709316964,0.032004394244653164,5.5982243232611834e-05,0.03778205324869339,0.008837553283462139,1.3512644166661867e-06
70.08,0.00733167008009397,0.0056253210262781845,0.034617647269411425,6.055335822832272e-05,0.040867069143041335,0.009559165530609202,1.461599134989778e-06
70.90,0.007918027425351127,0.00607521146967723,0.03738622680588912,6.539617111942521e-05,0.04413545218665817,0.010323668960547,1.5784919273905377e-06
71.71,0.008538389614623847,0.006551192580270334,0.04031536562595774,7.051983509611714e-05,0.04759337980830498,0.011132508527986461,1.7021637278557417e-06
72.53,0.0091938560893433,0.007054107919065105,0.04341025491733353,7.593343060938847e-05,0.05124698034552249,0.011987117704771968,1.8328337146390793e-06
73.34,0.009885514665843852,0.007584792127559496,0.04667603097798755,8.164594209681742e-05,0.055102317337022276,0.012888914805734017,1.9707187484824995e-06
74.16,0.010614438586993796,0.008144068665566552,0.050117761294951144,8.766623363154973e-05,0.05916537308834007,0.013839299144551613,2.116032784846469e-06
74.97,0.011381683439414612,0.00873274744590999,0.053740429988476314,9.400302346115239e-05,0.06344203148827311,0.014839647014366217,2.2689862593447145e-06
75.78,0.012188283932973644,0.009351622363447212,0.05754892260589697,0.0001006648574089609,0.06793806005762223,0.01589130748882547,2.4297854457225873e-06
76.60,0.013035250540121177,0.010001468716556229,0.061548010253724875,0.00010766008111786334,0.07265909121670136,0.016995598040389418,2.5986317858948323e-06
77.41,0.013923565993706059,0.010683040520038241,0.06574233306152816,0.000114996811125237,0.07761060276399914,0.01815379997411841,2.7757211917705093e-06
78.23,0.014854181643145918,0.011397067709341012,0.07013638297700935,0.00012268290476801378,0.08279789756530319,0.019367153676781355,2.9612433188402016e-06
79.04,0.01582801367025498,0.012144253237102493,0.07473448589843366,0.00013072592892863556,0.08822608246054776,0.020636853682982677,3.1553808117855086e-06
79.86,0.01684593916764197,0.012925270064249749,0.07954078315816072,0.00013913312764595817,0.09390004640462264,0.021964043562105698,3.3583085226911847e-06
80.67,0.017908792084387243,0.013740758049265972,0.08455921237951383,0.00014791138862999283,0.09982443786838882,0.02334981063221258,3.5701927027989153e-06
81.49,0.019017359045682594,0.014591320740753777,0.08979348773854402,0.00015706720873568734,0.10600364153715772,0.024795180509614153,3.7911901691350577e-06
82.30,0.020172375055269153,0.015477522080073637,0.0952470796724063,0.00016660665846871892,0.11244175435587946,0.026301111505629707,4.021447447773535e-06
83.12,0.021374519091823595,0.016399883022612943,0.1009231940869966,0.00017653534561538794,0.11914256098319635,0.027868488885075118,4.261099895957089e-06
83.93,0.022624409612913128,0.017358878088135788,0.10682475112815903,0.00018685837810911485,0.12610950873027893,0.029498119004236815,4.510270805791848e-06
84.75,0.023922599982743424,0.018354931852662026,0.11295436359307046,0.00019758032626752422,0.13334568207488065,0.03119072334948609,4.769070492749612e-06
85.56,0.02526957384264391,0.019388415396410848,0.11931431507124979,0.00020870518455659134,0.14085377685620862,0.03294693250123307,5.037595372754963e-06
86.38,0.026665740446043557,0.020459642724499082,0.12590653791790388,0.00022023633306151306,0.14863607427186237,0.03476728005158308,5.315927032192879e-06
87.19,0.028111429982558608,0.021568867179285318,0.1327325911758627,0.00023217649886764623,0.15669441481408086,0.03665219650779627,5.604131295746199e-06
88.01,0.029606888918703902,0.022716277865469387,0.13979363857600738,0.00024452771757875165,0.16503017229865272,0.038602003217422326,5.902257297546876e-06
88.82,0.031152275385616504,0.023901996111261693,0.1470904267596717,0.000257291295223508,0.17364422815587227,0.04061690635472972,6.210336561699383e-06
89.64,0.03274765464699083,0.025126071991096795,0.15462326387977846,0.00027046777082451813,0.18253694616860164,0.04269699101171723,6.5283820987945255e-06
90.45,0.034392994683128744,0.026388480937437113,0.16239199875022695,0.0002840568799263154,0.19170814785755894,0.04484221544051691,6.856387525571462e-06
91.27,0.03608816192954131,0.027689120471158686,0.17039600072502453,0.0002980575193998376,0.20115708872808852,0.047052405497305876,7.194326215389987e-06
92.08,0.03783291721085364,0.02902780708178578,0.1786341404995702,0.0003124677138599446,0.21088243560555692,0.04932724934085669,7.542150487637543e-06
92.90,0.039626911912790504,0.030404273290396112,0.1871047720360755,0.0003272845840492708,0.22088224529782366,0.051666292441502185,7.899790844598464e-06
93.71,0.041469684436701584,0.03181816492930841,0.195805715823042,0.0003425043175556232,0.2311539448326003,0.054068932958481045,8.267155264648688e-06
94.53,0.0433606569823551,0.03326903867363829,0.20473424368470836,0.00035812214224059414,0.24169431352459303,0.05653441754528488,8.644128560892344e-06
95.34,0.04529913270552198,0.03475635986041667,0.21388706536013133,0.000374132302763619,0.2524994671317446,0.059061837643664274,9.030571814514069e-06
96.16,0.04728429329713132,0.03627950063116516,0.2232603170727839,0.0003905280405878644,0.2635648443613347,0.06165012632728824,9.426321892173629e-06
96.97,0.049315197030441196,0.0378377384335618,0.2328495523099614,0.0004073015778515205,0.27488519598482025,0.06429805575560912,9.831191056701314e-06
97.79,0.05139077732168511,0.03943025491707799,0.2426497350266438,0.0004244441054799616,0.286454576814811,0.06700423529720743,1.024496668015654e-05
98.60,0.05350984184797626,0.04105613525617871,0.2526552354805413,0.00044194577590039,0.2982663407882276,0.06976711037969896,1.0667411067978562e-05
99.42,0.05567107226384629,0.04271436793283342,0.26285982889368703,0.00045979570070068035,0.3103131393862743,0.07258496212014978,1.1098261402477187e-05
100.2,0.05787302455463546,0.044403845007658815,0.2732566971210191,0.00047798195354809307,0.32258692360425245,0.07545590778584699,1.1537229813282777e-05
101.0,0.06011413006101371,0.046123362905996966,0.2838384334878325,0.0004964915786509355,0.33507894966229124,0.07837790213006507,1.1984003581588492e-05
101.9,0.06239269720423594,0.04787162374163983,0.2945970509358356,0.0005153106050077092,0.34777978862199727,0.08134873964150252,1.2438245484087517e-05
102.7,0.06470691393627392,0.049647237196725376,0.30552399359184157,0.0005344240666431146,0.36067934004360425,0.08436605773880247,1.2899594281416757e-05
103.5,0.06705485093287773,0.051448722971631465,0.316610151844096,0.0005538160289795999,0.3737668497839622,0.08742734093366766,1.336766535469797e-05
104.3,0.06943446554049985,0.05327451381337888,0.32784588097895506,0.0005734696214368322,0.3870309319977105,0.09052992597710281,1.3842051492400864e-05
105.1,0.0718436064813657,0.05512295912558699,0.3392210233959866,0.0005933670762903629,0.4004595953627366,0.09367100799380329,1.432232382829177e-05
105.9,0.07428001931208016,0.056992329156685805,0.3507249343818615,0.0006134897737554818,0.41404027350697525,0.09684764759924244,1.4808032929638453e-05
106.8,0.07674135262367753,0.058880819756951516,0.3623465113845672,0.0006338182931937562,0.42775985956737644,0.10005677898332693,1.5298710033203163e-05
107.6,0.07922516496173783,0.060786557688160554,0.3740742266887495,0.0006543324702690519,0.44160474476412703,0.10329521893321422,1.5793868424835196e-05
108.4,0.08172893243758805,0.06270760646328256,0.3858961633523097,0.0006750114598078556,0.4555608608246797,0.10655967675669582,1.629300495675773e-05
109.2,0.08425005699151991,0.06464197268657734,0.3978000542227986,0.0006958338040469945,0.4696137260436938,0.10984676505601124,1.679560169488736e-05
110.0,0.08678587526146193,0.06658761285820142,0.4097733238122662,0.0007167775058813302,0.4837484947174288,0.11315301129098407,1.7301127686841168e-05
110.8,0.08933366800192272,0.06854244060101668,0.4218031327703002,0.0007378201066562047,0.4979500096453687,0.11647487005961353,1.7809040839642356e-05
111.6,0.09189066999035848,0.07050433426138235,0.4338764246585173,0.0007589387679856234,0.5122028573487744,0.11980873601417684,1.8318789894596197e-05
112.5,0.09445408035103034,0.07247114483027088,0.4459799746962967,0.0007801103570185236,0.5264914256163417,0.12315095732166315,1.88298164853942e-05
113.3,0.0970210732201074,0.07444070412621073,0.45810044011776724,0.0008013115345234654,0.540799962951986,0.12649784956913115,1.9341557264247243e-05
114.1,0.09958880867039273,0.07641083317742574,0.4702244117546336,0.0008225188451175612,0.555112639469765,0.12984571000756487,1.985344607977503e-05
114.9,0.1021544438097134,0.07837935073721662,0.4823384664389416,0.0008437088089296466,0.5694136087567543,0.13319083202214363,2.036491618951483e-05
115.7,0.1047151439637497,0.08034408186415411,0.49442921980475285,0.0008648580139612445,0.5836870702068704,0.13652951971266594,2.0875402489272054e-05
116.5,0.10726809385230456,0.08230286649719222,0.5064833790584428,0.0008859432083926051,0.5979173313176123,0.13985810246530755,2.1384343741146384e-05
117.3,0.10981050866698175,0.08425356795518596,0.5184877952839132,0.0009069413920752613,0.6120888694377968,0.14317294939595482,2.189118478192181e-05
118.2,0.11233964495906795,0.08619408129082412,0.530429514851947,0.0009278299064576019,0.6261863924577109,0.1464704835461792,2.239537869363002e-05
119.0,0.11485281124890623,0.08812234143055121,0.542295829511959,0.0009485865222052793,0.64019489794369,0.14974719571527492,2.2896388918490778e-05
119.8,0.1173473782689154,0.0900363310340283,0.5540743247590061,0.0009691895238054864,0.6540997302368077,0.15299965781622493,2.3393691301018265e-05
120.6,0.11982078876063464,0.09193408801081322,0.5657529260902269,0.000989617790478654,0.6678866350597741,0.15622453564868155,2.3886776041028725e-05
121.4,0.12227056674794702,0.09381371263541995,0.5773199427902868,0.0010098508727682354,0.6815418112068575,0.1594186009897046,2.437514954231426e-05
122.2,0.12469432621733503,0.09567337420735848,0.5887641089165817,0.001029869064232226,0.6950519589280281,0.16257874291123564,2.485833614308771e-05
123.0,0.12708977914274186,0.09751131720831652,0.6000746211898995,0.0010496534677216915,0.7084043246599041,0.16570197824305893,2.533587971577266e-05
123.9,0.12945474280087882,0.09932586691492638,0.6112411735348088,0.0010691860557989882,0.7215867418016203,0.16878546111063425,2.5807345125340418e-05
124.7,0.1317871463315811,0.10111543443228413,0.6222539880554225,0.0010884497249207233,0.7345876672825521,0.17182649148860737,2.627231953714469e-05
125.5,0.13408503650700723,0.10287852112043791,0.6331038422755311,0.0011074283430863058,0.7473962137200237,0.17482252272278226,2.673041356703268e-05
126.3,0.13634658268284172,0.10461372239327905,0.6437820925166274,0.0011261067907309445,0.7600021770177147,0.17777116798562545,2.7181262268394047e-05
127.1,0.13857008091432746,0.10631973087661342,0.6542806933323321,0.0011444709947204075,0.7723960593085137,0.18067020564280362,2.7624525952705825e-05
127.9,0.14075395722922718,0.10799533891938481,0.6645922129622032,0.0011625079553829207,0.7845690871981625,0.18351758352053132,2.805989084201117e-05
128.8,0.14289677005908905,0.10963944045909609,0.674709844811346,0.0011802057665893388,0.796513225317243,0.18631142207549922,2.848706955360222e-05
129.6,0.14499721183897793,0.11125103224922361,0.6846274150037976,0.001197553628965579,0.8082211852381548,0.18905001648063374,2.8905801418933354e-05
130.4,0.14705410979411873,0.11282921446278048,0.6943393860967905,0.0012145418563896193,0.8196864298599018,0.19173183765073623,2.9315852640441917e-05
131.2,0.14906642593955935,0.1143731906920574,0.7038408570791603,0.001231161875988715,0.8309031734062139,0.19435553224204566,2.971701629148076e-05
132.0,0.15103325632589054,0.11588226736989171,0.7131275598098923,0.0012474062219096933,0.8418663772211533,0.19691992166879121,3.0109112165949667e-05
132.8,0.15295382957019887,0.1173558526425211,0.722195852081781,0.0012632685231858615,0.8525717415805788,0.19942400018782416,3.049198648543441e-05
133.6,0.154827504716713,0.11879345472813647,0.7310427075201341,0.0012787434860677793,0.8630156937672899,0.2018669321092887,3.086551147271758e-05
134.5,0.15665376847600904,0.12019467979862572,0.7396657025472366,0.0012938268712214317,0.8731953726822286,0.20424804819704726,3.122958480140344e-05
135.3,0.15843223189514466,0.12155922942468951,0.7480630006598635,0.0013085154662263797,0.8831086102836525,0.20656684132714126,3.1584128932093796e-05
136.1,0.16016262651371008,0.12288689762652101,0.7562333342794589,0.0013228070538280048,0.892753910160784,0.2088229614759791,3.192909034608169e-05
136.9,0.16184480006253132,0.1241775675735788,0.7641759844428834,0.0013367003764124595,0.9021304235581855,0.21101621011222702,3.226443868786956e-05
137.7,0.1634787117626781,0.12543120797768834,0.771890758605926,0.0013501950971804642,0.9112379231722084,0.21314653406757042,3.259016582800708e-05
138.5,0.1650644272825632,0.1266478692238096,0.7793779668324524,0.0013632917584972552,0.920076775041633,0.21521401896168732,3.290628485776726e-05
139.3,0.16660211341033637,0.1278276792823607,0.7866383966392577,0.0013759917378910694,0.9286479088513426,0.21721888225601668,3.321282902706626e-05
140.2,0.16809203249753113,0.12897083944603216,0.793673286760867,0.0013882972021624052,0.936952786960956,0.21916146600928607,3.350985063678104e-05
141.0,0.1695345367281132,0.130077619932639,0.8004843000899318,0.0014002110600512363,0.9449933724602361,0.22104222940539092,3.3797419896260145e-05
141.8,0.17093006226475238,0.13114835539376932,0.8070734960379209,0.0014117369138901968,0.9527720965401367,0.22286174112119625,3.4075623756358435e-05
142.6,0.17227912332140077,0.13218344036689222,0.8134433025478578,0.0014228790106491221,0.9602918254530832,0.2246206715982572,3.43445647277805e-05
143.4,0.17358230620817877,0.1331833247062171,0.8195964879762989,0.00143364219275086,0.9675558273188832,0.22631978527843044,3.46043596939046e-05
144.2,0.17484026339121114,0.13414850902502454,0.8255361330459055,0.0014440318490105887,0.9745677390139859,0.22795993285898175,3.485513872658494e-05
145.1,0.17605370760652161,0.13507954017947366,0.8312656030532591,0.0014540538660215807,0.981331533362049,0.22954204361817301,3.5097043912732675e-05
145.9,0.1772234060634173,0.13597700682107217,0.8367885204992207,0.0014637145802800882,0.9878514868233417,0.23106711785752934,3.533022819873633e-05
146.7,0.1783501747690722,0.13684153504213784,0.8421087382915466,0.0014730207313112403,0.9941321478597062,0.23253621950212736,3.555485425904337e-05
147.5,0.17943487300228772,0.13767378413571785,0.847230313651869,0.0014819794160269902,1.0001783061310434,0.23395046889538312,3.5771093394481595e-05
148.3,0.1804783979607224,0.13847444248860505,0.8521574828417395,0.0014905980445168068,1.005994962658722,0.23531103582000995,3.597912446516131e-05
149.1,0.18148167960230027,0.13924422362334032,0.8568946368055183,0.001498884297442078,1.0115873010713514,0.2366191327721573,3.617913286208949e-05
149.9,0.18244567569804426,0.13998386240243302,0.8614462978115389,0.0015068460851767346,1.0169606600290437,0.2378760085112,3.637130952093043e-05
150.8,0.18337136711028995,0.1406941114055083,0.8658170971574436,0.001514491508809303,1.0221205069039603,0.2390829419033888,3.655584998069879e-05
151.6,0.18425975330712274,0.14137573748769905,0.8700117539908817,0.001521828823095976,1.0270724127775723,0.24024123607349124,3.673295348954279e-05
152.4,0.18511184812097986,0.14202951852537804,0.8740350552830781,0.0015288664014302753,1.0318220287989173,0.2413522128747797,3.6902822159204676e-05
153.2,0.1859286757566781,0.14265624035326327,0.8778918369800992,0.0015356127028727572,1.0363750639331568,0.24241720768422517,3.706566016920429e-05
154.0,0.1867112670516707,0.14325669389505122,0.8815869663450584,0.0015420762412639076,1.0407372641160755,0.24343756452655058,3.722167302130463e-05
154.8,0.18746065598911105,0.14383167248801823,0.8851253254939945,0.0015482655564250237,1.044914392817736,0.24441463152790102,3.7371066844377674e-05
155.6,0.18817787646231474,0.1443819694005116,0.8885117961187609,0.0015541891874354162,1.0489122130074415,0.24534975669728773,3.751404774938579e-05
156.5,0.18886395928744037,0.14490837553988903,0.8917512453819275,0.001559855647959699,1.0527364705022801,0.24624428403167078,3.765082123384721e-05
157.3,0.18951992945967666,0.14541167734729196,0.8948485129614254,0.0015652734035862283,1.0563928786729826,0.24709954993852146,3.7781591634845325e-05
158.1,0.19014680364688397,0.14589265487460917,0.897808399216382,0.0015704508511267085,1.0598871044733664,0.24791687996798928,3.7906561629375865e-05
158.9,0.1907455879135235,0.14635208003813044,0.9006356544402867,0.0015753962998177867,1.0632247557534096,0.2486975858453173,3.80259317806025e-05
159.7,0.19131727566676368,0.1467907150426699,0.9033349691632054,0.0015801179543576342,1.0664113698107522,0.24944296279293846,3.813990012840464e-05
160.5,0.19186284581590057,0.14720931096935733,0.9059109654611929,0.0015846238997043413,1.0694524031312223,0.25015428713069515,3.8248661822449746e-05
161.3,0.1923832611356354,0.14760860651984056,0.9083681892282465,0.0015889220875579576,1.0723532222656662,0.2508328141418503,3.835240879590692e-05
162.2,0.1928794668233085,0.1479893269093047,0.9107111033640564,0.001593020324444489,1.075119095787909,0.2514797761919813,3.845132947782415e-05
163.0,0.19335238923988352,0.14835218290047478,0.912944081829362,0.001596926261317495,1.0777551872769353,0.252096381087454,3.8545608542139034e-05
163.8,0.1938029348242905,0.1486978699706317,0.9150714045198494,0.001600647384591484,1.0802665492653896,0.25268381065992196,3.863542669124854e-05
164.6,0.1942319891706608,0.14902706760360873,0.9170972529091707,0.0016041910085206536,1.0826581180960448,0.25324321956320917,3.872096047205157e-05
165.4,0.19464041625800982,0.14934043869875435,0.9190257064117673,0.0016075642688367345,1.0849347096280118,0.25377573426895683,3.880238212238297e-05
166.2,0.19502905782202262,0.1496386290889275,0.9208607394166552,0.0016107741175604645,1.0871010157350467,0.25428245224754337,3.887985944577683e-05
167.1,0.19539873285877699,0.149922267159722,0.922606218944176,0.0016138273189027774,1.0891616015392809,0.2547644413210338,3.895355571253101e-05
167.9,0.19575023725047178,0.15019196356230172,0.9242659028788133,0.0016167304461736241,1.0911209033250127,0.25522273917519356,3.902362958509527e-05
168.7,0.19608434350351667,0.15044831101244638,0.9258434387325394,0.0016194898796188218,1.092983227078804,0.2556583530180066,3.909023506585715e-05
169.5,0.1964018005896651,0.15069188416865906,0.9273423628947033,0.0016221118051079411,1.0947527476039554,0.2560722593725427,3.915352146547255e-05
170.3,0.19670333388123806,0.15092323958246556,0.9287661003261768,0.001624602213599326,1.0964335081594336,0.25646540399249906,3.921363338995141e-05
171.1,0.19698964517186324,0.15114291571432673,0.9301179646572771,0.001626966901311365,1.098029420575476,0.2568387018892422,3.927071074479254e-05
